bug,zipf_1.0,300,150,500,0.404
bug,zipf_1.5,300,150,500,0.212
bug,zipf_1.5,300,150,500,0.082
bug,zipf_2.0,300,150,500,0.206
bug,zipf_1.5,300,150,500,0.385
bug,zipf_2.0,300,150,500,0.042
bug,zipf_2.0,300,150,500,0.328
bug,uniform,1000,500,2000,0.854
bug,uniform,1000,500,2000,1.924
bug,uniform,1000,500,2000,2.939
bug,zipf_0.0,1000,500,2000,2.067
bug,zipf_0.0,1000,500,2000,0.461
bug,zipf_0.0,1000,500,2000,2.814
bug,uniform,1000,500,2000,5.684
bug,zipf_0.0,1000,500,2000,4.263
bug,zipf_0.5,1000,500,2000,3.088
bug,zipf_0.5,1000,500,2000,0.482
bug,zipf_0.5,1000,500,2000,3.027
bug,zipf_1.0,1000,500,2000,2.017
bug,zipf_1.0,1000,500,2000,0.440
bug,zipf_1.0,1000,500,2000,2.807
bug,zipf_0.5,1000,500,2000,5.672
bug,zipf_1.5,1000,500,2000,2.787
bug,zipf_1.5,1000,500,2000,0.625
bug,zipf_1.0,1000,500,2000,4.210
bug,zipf_1.5,1000,500,2000,2.896
bug,zipf_2.0,1000,500,2000,2.044
bug,zipf_2.0,1000,500,2000,0.456
bug,zipf_2.0,1000,500,2000,2.796
bug,zipf_1.5,1000,500,2000,5.271
bug,geometric,1000,500,2000,1.780
bug,geometric,1000,500,2000,2.742
bug,geometric,1000,500,2000,0.414
bug,zipf_2.0,1000,500,2000,5.003
bug,uniform,1000,100,2000,1.672
bug,uniform,1000,100,2000,0.184
bug,uniform,1000,100,2000,3.069
bug,uniform,1000,900,2000,2.669
bug,geometric,1000,500,2000,5.562
bug,uniform,1000,900,2000,2.166
bug,uniform,1000,900,2000,1.219
bug,zipf_0.0,1000,100,2000,0.145
bug,zipf_0.0,1000,100,2000,2.463
bug,zipf_0.0,1000,100,2000,3.023
bug,zipf_0.0,1000,900,2000,2.496
bug,zipf_0.0,1000,900,2000,1.868
bug,zipf_0.0,1000,900,2000,1.606
bug,zipf_0.5,1000,100,2000,1.691
bug,zipf_0.5,1000,100,2000,0.196
bug,zipf_0.5,1000,900,2000,1.976
bug,zipf_0.5,1000,100,2000,3.022
bug,zipf_0.5,1000,900,2000,2.545
bug,zipf_0.5,1000,900,2000,1.491
bug,zipf_1.0,1000,100,2000,0.167
bug,zipf_1.0,1000,100,2000,1.818
bug,zipf_1.0,1000,100,2000,2.501
bug,zipf_1.0,1000,900,2000,1.392
bug,zipf_1.0,1000,900,2000,1.231
bug,zipf_1.5,1000,100,2000,1.608
bug,zipf_1.0,1000,900,2000,3.688
bug,zipf_1.5,1000,100,2000,0.107
bug,zipf_1.5,1000,900,2000,1.450
bug,zipf_1.5,1000,100,2000,2.911
bug,zipf_1.5,1000,900,2000,1.155
bug,zipf_1.5,1000,900,2000,3.632
bug,zipf_2.0,1000,100,2000,0.137
bug,zipf_2.0,1000,100,2000,2.466
bug,zipf_2.0,1000,100,2000,1.813
bug,zipf_2.0,1000,900,2000,1.194
bug,zipf_2.0,1000,900,2000,1.790
bug,geometric,1000,100,2000,1.585
bug,geometric,1000,100,2000,0.102
bug,zipf_2.0,1000,900,2000,3.706
bug,geometric,1000,100,2000,2.841
bug,geometric,1000,900,2000,1.916
bug,geometric,1000,900,2000,0.999
bug,geometric,1000,900,2000,2.569
null,uniform,300,30,500,0.768
null,uniform,300,30,2000,0.870
null,uniform,300,150,2000,1.510
null,uniform,300,30,5000,2.443
null,uniform,300,270,500,0.696
null,uniform,300,150,5000,2.343
null,uniform,1000,100,500,0.553
null,uniform,300,270,2000,1.795
null,uniform,1000,500,500,1.611
null,uniform,300,270,5000,3.457
null,uniform,1000,100,5000,3.335
null,uniform,1000,900,500,1.815
null,uniform,5000,500,500,3.161
null,uniform,1000,500,5000,6.714
null,uniform,1000,900,5000,6.042
null,uniform,5000,2500,500,2.521
null,uniform,5000,500,2000,9.030
null,uniform,5000,2500,2000,10.629
null,uniform,5000,500,5000,14.927
null,uniform,5000,4500,500,4.759
null,uniform,5000,4500,2000,10.205
null,zipf_0.0,300,30,500,0.416
null,zipf_0.0,300,30,2000,0.678
null,zipf_0.0,300,30,5000,1.373
null,zipf_0.0,300,150,2000,0.867
null,zipf_0.0,300,150,5000,1.772
null,zipf_0.0,300,270,500,0.429
null,zipf_0.0,300,270,2000,0.991
null,zipf_0.0,300,270,5000,2.045
null,zipf_0.0,1000,100,500,0.562
null,uniform,5000,2500,5000,27.855
null,zipf_0.0,1000,100,5000,3.067
null,zipf_0.0,1000,500,500,1.900
null,zipf_0.0,1000,900,500,2.223
null,zipf_0.0,1000,500,5000,4.332
null,zipf_0.0,5000,500,500,1.648
null,zipf_0.0,1000,900,5000,8.762
null,zipf_0.0,5000,500,2000,5.402
null,zipf_0.0,5000,2500,500,2.214
null,uniform,5000,4500,5000,33.996
null,zipf_0.0,5000,2500,2000,7.742
null,zipf_0.0,5000,4500,500,2.852
null,zipf_0.0,5000,500,5000,18.625
null,zipf_0.0,5000,4500,2000,9.901
null,zipf_0.5,300,30,500,0.379
null,zipf_0.5,300,30,2000,0.646
null,zipf_0.5,300,30,5000,1.321
null,zipf_0.5,300,150,2000,0.907
null,zipf_0.5,300,150,5000,1.857
null,zipf_0.5,300,270,500,0.448
